States,date,Total positive,Total negaitive,Total test,Total Deaths,votes_dem,votes_gop,Party Score
Georgia,Aug,84119.0,684828.0,768947.0,142202,1837300.0,2068623.0,0.8881753707659636
Georgia,Jul,105061.0,635748.0,740809.0,96401,1837300.0,2068623.0,0.8881753707659636
Georgia,Jun,34305.0,334048.0,368353.0,73197,1837300.0,2068623.0,0.8881753707659636
Georgia,Mar,3927.0,12252.0,16179.0,699,1837300.0,2068623.0,0.8881753707659636
Georgia,May,20831.0,295650.0,316481.0,48939,1837300.0,2068623.0,0.8881753707659636
Georgia,Oct,24412.0,369745.0,394157.0,144173,1837300.0,2068623.0,0.8881753707659636
Georgia,Sep,47555.0,542490.0,590045.0,188261,1837300.0,2068623.0,0.8881753707659636
Guam,Apr,77.0,1591.0,1668.0,156,,,
Guam,Aug,1039.0,14963.0,16002.0,222,,,
Guam,Jul,97.0,8470.0,8567.0,186,,,
Guam,Jun,86.0,7127.0,7213.0,180,,,
Guam,Mar,66.0,348.0,414.0,11,,,
Guam,May,27.0,3967.0,3994.0,186,,,
Guam,Oct,1398.0,8994.0,10392.0,1188,,,
Guam,Sep,1093.0,11137.0,12230.0,873,,,
Hawaii,Apr,409.0,21556.0,22807.0,274,266827.0,128815.0,2.071396964639211
Hawaii,Aug,6350.0,69001.0,106303.0,1257,266827.0,128815.0,2.071396964639211
Hawaii,Jul,1089.0,42536.0,59158.0,673,266827.0,128815.0,2.071396964639211
Hawaii,Jun,249.0,22874.0,36859.0,514,266827.0,128815.0,2.071396964639211
Hawaii,Mar,204.0,8471.0,8827.0,1,266827.0,128815.0,2.071396964639211
Hawaii,May,38.0,23942.0,21742.0,525,266827.0,128815.0,2.071396964639211
Hawaii,Oct,1793.0,10942.0,67917.0,3360,266827.0,128815.0,2.071396964639211
Hawaii,Sep,4130.0,95831.0,155685.0,3146,266827.0,128815.0,2.071396964639211
Idaho,Apr,1569.0,21565.0,22981.0,1098,189677.0,407199.0,0.4658091007099723
