state,month,deaths
Washington,September,63369
West Virginia,April,515
West Virginia,August,4966
West Virginia,July,3101
West Virginia,June,2613
West Virginia,March,3
West Virginia,May,1951
West Virginia,October,7176
West Virginia,September,8578
Wisconsin,April,5402
Wisconsin,August,32504
Wisconsin,February,0
Wisconsin,July,26417
Wisconsin,June,21236
Wisconsin,March,135
Wisconsin,May,13922
Wisconsin,October,28073
Wisconsin,September,36898
Wyoming,April,82
Wyoming,August,991
Wyoming,July,710
Wyoming,June,555
Wyoming,March,0
Wyoming,May,300
Wyoming,October,1040
Wyoming,September,1375
