,States,date,Total positive,Total negaitive,Total test,deaths
206,Minnesota,September,23270.0,263408.0,540441.0,59400
207,Mississippi,April,5878.0,55988.0,61866.0,3972
208,Mississippi,August,24203.0,95157.0,119360.0,64526
209,Mississippi,July,31500.0,135459.0,166959.0,40931
210,Mississippi,June,11746.0,103963.0,115709.0,27336
211,Mississippi,March,937.0,3537.0,4474.0,88
212,Mississippi,May,8686.0,96811.0,105497.0,15804
213,Mississippi,October,13132.0,90701.0,103833.0,58625
214,Mississippi,September,15240.0,147928.0,163168.0,82125
215,Missouri,April,6235.0,58511.0,64881.0,5056
216,Missouri,August,34374.0,261808.0,398436.0,45188
217,Missouri,July,28772.0,284994.0,471477.0,35764
218,Missouri,June,8404.0,171042.0,240564.0,27450
219,Missouri,March,1327.0,14614.0,19166.0,96
220,Missouri,May,5585.0,107289.0,99580.0,17904
221,Missouri,October,33512.0,56727.0,449305.0,46052
222,Missouri,September,41416.0,280014.0,553242.0,56366
223,Montana,April,269.0,9227.0,9496.0,280
224,Montana,August,3456.0,76812.0,80268.0,2566
225,Montana,July,2998.0,76111.0,79109.0,1109
226,Montana,June,452.0,50611.0,51063.0,581
227,Montana,March,183.0,4200.0,4383.0,12
228,Montana,May,62.0,25822.0,25884.0,502
229,Montana,October,11022.0,90841.0,101863.0,3979
230,Montana,September,5650.0,87270.0,92920.0,4277
231,Nebraska,April,3612.0,18606.0,22218.0,866
232,Nebraska,August,8280.0,82115.0,90395.0,11402
233,Nebraska,February,0.0,0.0,0.0,0
234,Nebraska,July,6724.0,86075.0,92799.0,9469
235,Nebraska,June,5137.0,71878.0,77015.0,6926
236,Nebraska,March,172.0,2914.0,3086.0,13
237,Nebraska,May,10121.0,65700.0,75821.0,3841
238,Nebraska,October,13773.0,77258.0,91031.0,10010
239,Nebraska,September,10998.0,83289.0,94287.0,13519
240,Nevada,April,3885.0,26307.0,30192.0,4029
241,Nevada,August,21140.0,106878.0,128018.0,33381
242,Nevada,July,29632.0,162703.0,192335.0,19854
243,Nevada,June,9863.0,125145.0,135008.0,14008
244,Nevada,March,1112.0,10667.0,11779.0,123
245,Nevada,May,3595.0,96979.0,100574.0,10678
246,Nevada,October,11519.0,41988.0,53507.0,31565
247,Nevada,September,10752.0,89423.0,100175.0,44410
248,New Hampshire,April,1740.0,14454.0,17623.0,1009
249,New Hampshire,August,731.0,51876.0,94067.0,13146
250,New Hampshire,July,784.0,39227.0,82634.0,12246
251,New Hampshire,June,1215.0,46803.0,71535.0,9573
252,New Hampshire,March,312.0,5403.0,6234.0,17
253,New Hampshire,May,2491.0,45868.0,55996.0,5085
254,New Hampshire,October,1480.0,39613.0,98087.0,8614
255,New Hampshire,September,991.0,61806.0,117380.0,13080
256,New Jersey,April,99956.0,102189.0,202145.0,102708
257,New Jersey,August,10300.0,751289.0,761589.0,492942
258,New Jersey,July,9993.0,663962.0,673955.0,482461
259,New Jersey,June,11222.0,665007.0,676229.0,388821
260,New Jersey,March,18696.0,27077.0,45773.0,1165
261,New Jersey,May,41793.0,456434.0,498227.0,308935
262,New Jersey,October,16918.0,605350.0,622268.0,307212
263,New Jersey,September,13315.0,741799.0,755114.0,481278
264,New Mexico,April,2932.0,49626.0,52558.0,1472
265,New Mexico,August,4895.0,200401.0,205296.0,22130
266,New Mexico,July,8406.0,205511.0,213917.0,17513
267,New Mexico,June,4358.0,138915.0,143273.0,13155
268,New Mexico,March,281.0,12177.0,12458.0,16
269,New Mexico,May,4411.0,124951.0,129362.0,7739
270,New Mexico,October,8145.0,138137.0,146282.0,17256
271,New Mexico,September,3874.0,154179.0,158053.0,24979
272,New York,April,228577.0,466873.0,695450.0,425198
273,New York,August,19742.0,2354054.0,2373796.0,1005469
