state_x,date,Total positive,Total negaitive,Total test
New York,October,27831,2297571,2325402
New York,September,23893,2460387,2484280
North Carolina,April,9011,95919,104930
North Carolina,August,45165,453905,499070
North Carolina,July,57478,789591,847069
North Carolina,June,36081,457663,493744
North Carolina,March,1497,21608,23105
North Carolina,May,18080,270173,288253
North Carolina,October,38118,598804,636922
North Carolina,September,43319,735380,778699
North Dakota,April,950,22262,24928
North Dakota,August,5349,42450,154681
North Dakota,July,2887,44949,123041
North Dakota,June,998,33083,85809
North Dakota,March,117,4125,4068
North Dakota,May,1509,43070,63656
North Dakota,October,11820,21260,132877
North Dakota,September,10036,29701,157297
Northern Mariana Islands,April,12,585,597
Northern Mariana Islands,August,14,1765,1779
Northern Mariana Islands,July,12,3532,3544
Northern Mariana Islands,June,8,2036,2044
Northern Mariana Islands,March,2,0,2
Northern Mariana Islands,May,8,5566,5574
Northern Mariana Islands,October,18,611,629
Northern Mariana Islands,September,14,1628,1642
Ohio,April,15828,88871,104699
Ohio,August,31998,743772,775770
Ohio,July,39370,641035,680405
Ohio,June,16276,380745,397021
Ohio,March,2199,26982,29181
Ohio,May,17486,239532,257018
Ohio,October,31652,781827,813479
Ohio,September,30830,891001,921831
Oklahoma,April,3053,58575,61628
Oklahoma,August,22246,217454,239700
Oklahoma,July,22730,261251,283981
Oklahoma,June,7251,141140,148391
Oklahoma,March,564,1229,1793
Oklahoma,May,2888,126896,129784
Oklahoma,October,22349,240633,262982
Oklahoma,September,28466,310284,338750
Oregon,April,1820,40386,42206
Oregon,August,8221,144814,153035
Oregon,July,9836,156723,166559
Oregon,June,4413,104020,108433
Oregon,March,687,13107,13794
Oregon,May,1733,71436,73169
Oregon,October,6627,102817,109444
Oregon,September,6796,121849,128645
Pennsylvania,April,40920,137957,178877
Pennsylvania,August,21977,419371,441348
Pennsylvania,July,25442,427243,452685
Pennsylvania,June,14060,294470,308530
Pennsylvania,March,4841,37645,42486
Pennsylvania,May,26783,207509,234292
Pennsylvania,October,25905,276512,302417
Pennsylvania,September,24942,354932,379874
Puerto Rico,April,1300,8118,9418
Puerto Rico,August,16418,0,16418
Puerto Rico,July,9316,113286,122602
Puerto Rico,June,3689,132264,135953
Puerto Rico,March,234,1186,1420
Puerto Rico,May,2237,51109,53346
Puerto Rico,October,9888,0,9888
Puerto Rico,September,15556,0,15556
Rhode Island,April,8448,46556,62453
Rhode Island,August,2927,64954,160288
Rhode Island,July,2111,49822,108972
Rhode Island,June,1923,38382,91506
Rhode Island,March,566,3542,3897
Rhode Island,May,5972,48690,97298
Rhode Island,October,3901,56553,215498
Rhode Island,September,2799,63905,245408
South Carolina,April,5012,45801,50813
South Carolina,August,29976,226737,256713
South Carolina,July,52617,259646,312263
South Carolina,June,24538,155818,180356
South Carolina,March,1083,4611,5694
South Carolina,May,5766,137938,143704
South Carolina,October,17551,293273,310824
South Carolina,September,28950,330600,359550
South Dakota,April,2341,10970,13311
South Dakota,August,4745,30149,34894
South Dakota,July,2000,29547,31547
South Dakota,June,1771,34189,35960
South Dakota,March,108,3604,3712
South Dakota,May,2544,24556,27100
South Dakota,October,12068,31889,43957
South Dakota,September,8880,35360,44240
Tennessee,April,8496,141770,150266
Tennessee,August,48974,638620,687594
Tennessee,July,62450,657828,720278
Tennessee,June,20503,336647,357150
Tennessee,March,2238,25121,27359
Tennessee,May,12271,246080,258351
Tennessee,October,37430,474950,512380
Tennessee,September,41206,642151,683357
Texas,April,24821,262487,287308
Texas,August,192023,1099778,1291801
Texas,July,260960,1539510,1800470
